年月,種類,収集量,月
2013-04,可燃ごみ,4053.99,4
2013-04,不燃ごみ,208.9,4
2013-04,粗大ごみ,179.21,4
2013-04,管路収集,175.37,4
2013-05,可燃ごみ,4107.33,5
2013-05,不燃ごみ,194.31,5
2013-05,粗大ごみ,182.69,5
2013-05,管路収集,196.96,5
2013-06,可燃ごみ,3812.56,6
2013-06,不燃ごみ,192.06,6
2013-06,粗大ごみ,173.04,6
2013-06,管路収集,172.12,6
2013-07,可燃ごみ,4135.69,7
2013-07,不燃ごみ,175.99,7
2013-07,粗大ごみ,189.66,7
2013-07,管路収集,200.17,7
2013-08,可燃ごみ,3760.89,8
2013-08,不燃ごみ,183.28,8
2013-08,粗大ごみ,178.13,8
2013-08,管路収集,209.09,8
2013-09,可燃ごみ,3628.44,9
2013-09,不燃ごみ,190.47,9
2013-09,粗大ごみ,170.24,9
2013-09,管路収集,184.63,9
2013-10,可燃ごみ,4065.23,10
2013-10,不燃ごみ,192.32,10
2013-10,粗大ごみ,193.95,10
2013-10,管路収集,181.62,10
2013-11,可燃ごみ,3814.94,11
2013-11,不燃ごみ,197.47,11
2013-11,粗大ごみ,164.14,11
2013-11,管路収集,200.61,11
2013-12,可燃ごみ,4090.09,12
2013-12,不燃ごみ,219.83,12
2013-12,粗大ごみ,182.08,12
2013-12,管路収集,229.9,12
2014-01,可燃ごみ,4123.28,1
2014-01,不燃ごみ,199.84,1
2014-01,粗大ごみ,163.66,1
2014-01,管路収集,167.56,1
2014-02,可燃ごみ,3436.04,2
2014-02,不燃ごみ,188.63,2
2014-02,粗大ごみ,161.3,2
2014-02,管路収集,137.86,2
2014-03,可燃ごみ,3963.37,3
2014-03,不燃ごみ,196.27,3
2014-03,粗大ごみ,200.36,3
2014-03,管路収集,182.3,3
2014-04,可燃ごみ,4058.45,4
2014-04,不燃ごみ,205.76,4
2014-04,粗大ごみ,207.32,4
2014-04,管路収集,186.33,4
2014-05,可燃ごみ,4037.84,5
2014-05,不燃ごみ,174.58,5
2014-05,粗大ごみ,201.54,5
2014-05,管路収集,180.91,5
2014-06,可燃ごみ,3812.66,6
2014-06,不燃ごみ,184.04,6
2014-06,粗大ごみ,174.52,6
2014-06,管路収集,174.5,6
2014-07,可燃ごみ,4125.28,7
2014-07,不燃ごみ,161.73,7
2014-07,粗大ごみ,185.41,7
2014-07,管路収集,174.36,7
2014-08,可燃ごみ,3660.09,8
2014-08,不燃ごみ,171.35,8
2014-08,粗大ごみ,164.71,8
2014-08,管路収集,214.98,8
2014-09,可燃ごみ,3801.2,9
2014-09,不燃ごみ,167.87,9
2014-09,粗大ごみ,175.15,9
2014-09,管路収集,185.52,9
2014-10,可燃ごみ,3986.99,10
2014-10,不燃ごみ,171.59,10
2014-10,粗大ごみ,179.75,10
2014-10,管路収集,191.08,10
2014-11,可燃ごみ,3687.67,11
2014-11,不燃ごみ,169.9,11
2014-11,粗大ごみ,163.61,11
2014-11,管路収集,184.81,11
2014-12,可燃ごみ,4322.47,12
2014-12,不燃ごみ,186.48,12
2014-12,粗大ごみ,196.9,12
2014-12,管路収集,210.68,12
2015-01,可燃ごみ,4107.1,1
2015-01,不燃ごみ,185.95,1
2015-01,粗大ごみ,146.09,1
2015-01,管路収集,158.03,1
2015-02,可燃ごみ,3438.73,2
2015-02,不燃ごみ,175.21,2
2015-02,粗大ごみ,159.45,2
2015-02,管路収集,154.78,2
2015-03,可燃ごみ,3954.9,3
2015-03,不燃ごみ,166.67,3
2015-03,粗大ごみ,193.27,3
2015-03,管路収集,188.2,3
2015-04,可燃ごみ,3994.35,4
2015-04,不燃ごみ,194.4,4
2015-04,粗大ごみ,202.8,4
2015-04,管路収集,181.59,4
2015-05,可燃ごみ,3925.86,5
2015-05,不燃ごみ,191.77,5
2015-05,粗大ごみ,196.76,5
2015-05,管路収集,208.92,5
2015-06,可燃ごみ,3938.12,6
2015-06,不燃ごみ,179.1,6
2015-06,粗大ごみ,207.96,6
2015-06,管路収集,180.19,6
2015-07,可燃ごみ,4062.6,7
2015-07,不燃ごみ,170.16,7
2015-07,粗大ごみ,184.92,7
2015-07,管路収集,178.2,7
2015-08,可燃ごみ,3668.68,8
2015-08,不燃ごみ,170.92,8
2015-08,粗大ごみ,185.47,8
2015-08,管路収集,231.05,8
2015-09,可燃ごみ,3885.05,9
2015-09,不燃ごみ,169.82,9
2015-09,粗大ごみ,172.96,9
2015-09,管路収集,194.95,9
2015-10,可燃ごみ,3873.87,10
2015-10,不燃ごみ,179.94,10
2015-10,粗大ごみ,194.81,10
2015-10,管路収集,191.13,10
2015-11,可燃ごみ,3740.04,11
2015-11,不燃ごみ,177.35,11
2015-11,粗大ごみ,181.49,11
2015-11,管路収集,184.98,11
2015-12,可燃ごみ,4359.68,12
2015-12,不燃ごみ,182.66,12
2015-12,粗大ごみ,201.71,12
2015-12,管路収集,196.02,12
2016-01,可燃ごみ,3960.93,1
2016-01,不燃ごみ,191.1,1
2016-01,粗大ごみ,153.21,1
2016-01,管路収集,173.94,1
2016-02,可燃ごみ,3658.34,2
2016-02,不燃ごみ,172.36,2
2016-02,粗大ごみ,179.41,2
2016-02,管路収集,170.16,2
2016-03,可燃ごみ,4117.44,3
2016-03,不燃ごみ,171.3,3
2016-03,粗大ごみ,207.4,3
2016-03,管路収集,181.7,3
2016-04,可燃ごみ,3983.76,4
2016-04,不燃ごみ,179.76,4
2016-04,粗大ごみ,193.71,4
2016-04,管路収集,188.7,4
2016-05,可燃ごみ,4040.84,5
2016-05,不燃ごみ,184.33,5
2016-05,粗大ごみ,181.09,5
2016-05,管路収集,214.34,5
2016-06,可燃ごみ,3952.92,6
2016-06,不燃ごみ,167.67,6
2016-06,粗大ごみ,190.16,6
2016-06,管路収集,184.73,6
2016-07,可燃ごみ,3906.58,7
2016-07,不燃ごみ,166.39,7
2016-07,粗大ごみ,190,7
2016-07,管路収集,197.03,7
2016-08,可燃ごみ,3941.52,8
2016-08,不燃ごみ,167.59,8
2016-08,粗大ごみ,189.85,8
2016-08,管路収集,212.84,8
2016-09,可燃ごみ,3837.54,9
2016-09,不燃ごみ,177.46,9
2016-09,粗大ごみ,181.57,9
2016-09,管路収集,193.9,9
2016-10,可燃ごみ,3840.31,10
2016-10,不燃ごみ,171.5,10
2016-10,粗大ごみ,176.72,10
2016-10,管路収集,189.38,10
2016-11,可燃ごみ,3919.79,11
2016-11,不燃ごみ,163.65,11
2016-11,粗大ごみ,178.46,11
2016-11,管路収集,169.75,11
2016-12,可燃ごみ,4237.22,12
2016-12,不燃ごみ,185.81,12
2016-12,粗大ごみ,181.47,12
2016-12,管路収集,191.94,12
2017-01,可燃ごみ,4049.87,1
2017-01,不燃ごみ,196.97,1
2017-01,粗大ごみ,145.37,1
2017-01,管路収集,170.12,1
2017-02,可燃ごみ,3454.15,2
2017-02,不燃ごみ,157.94,2
2017-02,粗大ごみ,171.93,2
2017-02,管路収集,148.49,2
2017-03,可燃ごみ,4034.39,3
2017-03,不燃ごみ,161.24,3
2017-03,粗大ごみ,188.64,3
2017-03,管路収集,175.2,3
2017-04,可燃ごみ,3879.12,4
2017-04,不燃ごみ,190.727,4
2017-04,粗大ごみ,184.99,4
2017-04,管路収集,177.83,4
2017-05,可燃ごみ,4248.6,5
2017-05,不燃ごみ,179.452,5
2017-05,粗大ごみ,193.13,5
2017-05,管路収集,207.09,5
2017-06,可燃ごみ,3923.07,6
2017-06,不燃ごみ,171.601,6
2017-06,粗大ごみ,186.36,6
2017-06,管路収集,181.94,6
2017-07,可燃ごみ,4003.56,7
2017-07,不燃ごみ,164.469,7
2017-07,粗大ごみ,185.12,7
2017-07,管路収集,182.84,7
2017-08,可燃ごみ,3966.33,8
2017-08,不燃ごみ,165.895,8
2017-08,粗大ごみ,185.46,8
2017-08,管路収集,215.21,8
2017-09,可燃ごみ,3848.8,9
2017-09,不燃ごみ,169.337,9
2017-09,粗大ごみ,191.29,9
2017-09,管路収集,189.74,9
2017-10,可燃ごみ,4060.12,10
2017-10,不燃ごみ,179.383,10
2017-10,粗大ごみ,190.18,10
2017-10,管路収集,190.37,10
2017-11,可燃ごみ,3982.2,11
2017-11,不燃ごみ,172.246,11
2017-11,粗大ごみ,190.12,11
2017-11,管路収集,186.37,11
2017-12,可燃ごみ,4267.04,12
2017-12,不燃ごみ,191.609,12
2017-12,粗大ごみ,180.4,12
2017-12,管路収集,210.46,12
2018-01,可燃ごみ,4120.01,1
2018-01,不燃ごみ,173.74,1
2018-01,粗大ごみ,158.345,1
2018-01,管路収集,191.15,1
2018-02,可燃ごみ,3483.84,2
2018-02,不燃ごみ,164.566,2
2018-02,粗大ごみ,164.35,2
2018-02,管路収集,186.37,2
2018-03,可燃ごみ,3982.2,3
2018-03,不燃ごみ,172.246,3
2018-03,粗大ごみ,190.12,3
2018-03,管路収集,199.74,3
2018-04,可燃ごみ,4061.94,4
2018-04,不燃ごみ,193.51,4
2018-04,粗大ごみ,188.8,4
2018-04,管路収集,184.84,4
2018-05,可燃ごみ,4249.35,5
2018-05,不燃ごみ,183.69,5
2018-05,粗大ごみ,212.1,5
2018-05,管路収集,199.82,5
2018-06,可燃ごみ,3991.12,6
2018-06,不燃ごみ,177.973,6
2018-06,粗大ごみ,201.43,6
2018-06,管路収集,182.99,6
2018-07,可燃ごみ,4067.98,7
2018-07,不燃ごみ,164.495,7
2018-07,粗大ごみ,206.53,7
2018-07,管路収集,225.94,7
2018-08,可燃ごみ,3891.71,8
2018-08,不燃ごみ,164.718,8
2018-08,粗大ごみ,208.03,8
2018-08,管路収集,191,8
2018-09,可燃ごみ,3720.67,9
2018-09,不燃ごみ,174.005,9
2018-09,粗大ごみ,206.95,9
2018-09,管路収集,194.72,9
2018-10,可燃ごみ,4195.17,10
2018-10,不燃ごみ,171.423,10
2018-10,粗大ごみ,213.04,10
2018-10,管路収集,188.4,10
2018-11,可燃ごみ,3931.6,11
2018-11,不燃ごみ,176.349,11
2018-11,粗大ごみ,204.4,11
2018-11,管路収集,173.7,11
2018-12,可燃ごみ,4308.82,12
2018-12,不燃ごみ,195.706,12
2018-12,粗大ごみ,194.885,12
2018-12,管路収集,197.21,12
2019-01,可燃ごみ,4192.22,1
2019-01,不燃ごみ,185.681,1
2019-01,粗大ごみ,166.98,1
2019-01,管路収集,181.99,1
2019-02,可燃ごみ,3552.38,2
2019-02,不燃ごみ,168.14,2
2019-02,粗大ごみ,178.3,2
2019-02,管路収集,164.94,2
2019-03,可燃ごみ,3979.22,3
2019-03,不燃ごみ,163.081,3
2019-03,粗大ごみ,206.39,3
2019-03,管路収集,197.62,3
2019-04,可燃ごみ,4098.38,4
2019-04,不燃ごみ,183.42,4
2019-04,粗大ごみ,201.54,4
2019-04,管路収集,203.05,4
2019-05,可燃ごみ,4259.44,5
2019-05,不燃ごみ,194.27,5
2019-05,粗大ごみ,205.5,5
2019-05,管路収集,209.81,5
2019-06,可燃ごみ,3830.47,6
2019-06,不燃ごみ,179.47,6
2019-06,粗大ごみ,197.36,6
2019-06,管路収集,198.82,6
2019-07,可燃ごみ,4250.42,7
2019-07,不燃ごみ,169.44,7
2019-07,粗大ごみ,210.97,7
2019-07,管路収集,204.11,7
2019-08,可燃ごみ,3880.43,8
2019-08,不燃ごみ,168.764,8
2019-08,粗大ごみ,207.97,8
2019-08,管路収集,227.36,8
2019-09,可燃ごみ,3756.83,9
2019-09,不燃ごみ,176.029,9
2019-09,粗大ごみ,197.16,9
2019-09,管路収集,200.75,9
2019-10,可燃ごみ,4143.52,10
2019-10,不燃ごみ,175.338,10
2019-10,粗大ごみ,210.01,10
2019-10,管路収集,189.81,10
2019-11,可燃ごみ,3865.52,11
2019-11,不燃ごみ,170.175,11
2019-11,粗大ごみ,198.03,11
2019-11,管路収集,151.01,11
2019-12,可燃ごみ,4180.23,12
2019-12,不燃ごみ,174.044,12
2019-12,粗大ごみ,195.66,12
2019-12,管路収集,203.16,12
2020-01,可燃ごみ,4282.37,1
2020-01,不燃ごみ,179.846,1
2020-01,粗大ごみ,171.71,1
2020-01,管路収集,181.3,1
2020-02,可燃ごみ,3700.86,2
2020-02,不燃ごみ,150.854,2
2020-02,粗大ごみ,182.48,2
2020-02,管路収集,154.74,2
2020-04,可燃ごみ,4340.56,4
2020-04,不燃ごみ,175.278,4
2020-04,粗大ごみ,212.53,4
2020-04,管路収集,83.18,4
2020-05,可燃ごみ,4371.24,5
2020-05,不燃ごみ,201.864,5
2020-05,粗大ごみ,192.44,5
2020-05,管路収集,89.96,5
2020-06,可燃ごみ,4225.48,6
2020-06,不燃ごみ,160.512,6
2020-06,粗大ごみ,194.61,6
2020-06,管路収集,115.17,6
2020-07,可燃ごみ,4228.93,7
2020-07,不燃ごみ,151.989,7
2020-07,粗大ごみ,203.531,7
2020-07,管路収集,124.81,7
2020-08,可燃ごみ,3855.31,8
2020-08,不燃ごみ,156.779,8
2020-08,粗大ごみ,195.12,8
2020-08,管路収集,146.68,8
2020-09,可燃ごみ,3867.48,9
2020-09,不燃ごみ,147.684,9
2020-09,粗大ごみ,218.12,9
2020-09,管路収集,139.77,9
2020-10,可燃ごみ,3968.98,10
2020-10,不燃ごみ,153.19,10
2020-10,粗大ごみ,216.44,10
2020-10,管路収集,140.62,10
2020-11,可燃ごみ,3767.22,11
2020-11,不燃ごみ,156.584,11
2020-11,粗大ごみ,223.03,11
2020-11,管路収集,143.55,11
2020-12,可燃ごみ,4348.14,12
2020-12,不燃ごみ,160.869,12
2020-12,粗大ごみ,251.26,12
2020-12,管路収集,154.93,12
2021-01,可燃ごみ,4129.85,1
2021-01,不燃ごみ,172.641,1
2021-01,粗大ごみ,183.24,1
2021-01,管路収集,129.87,1
2021-02,可燃ごみ,3595.93,2
2021-02,不燃ごみ,160.697,2
2021-02,粗大ごみ,260.45,2
2021-02,管路収集,106.3,2
2021-03,可燃ごみ,4249.2,3
2021-03,不燃ごみ,151.888,3
2021-03,粗大ごみ,290.28,3
2021-03,管路収集,127.95,3
2021-04,可燃ごみ,4019.47,4
2021-04,不燃ごみ,166.233,4
2021-04,粗大ごみ,210.74,4
2021-04,管路収集,128.83,4
2021-05,可燃ごみ,4097.75,5
2021-05,不燃ごみ,165.206,5
2021-05,粗大ごみ,211.66,5
2021-05,管路収集,108.16,5
2021-06,可燃ごみ,4046.04,6
2021-06,不燃ごみ,154.817,6
2021-06,粗大ごみ,216.507,6
2021-06,管路収集,121.49,6
2021-07,可燃ごみ,4121.48,7
2021-07,不燃ごみ,142.904,7
2021-07,粗大ごみ,238.06,7
2021-07,管路収集,133.2,7
2021-08,可燃ごみ,3894.18,8
2021-08,不燃ごみ,152.866,8
2021-08,粗大ごみ,234.828,8
2021-08,管路収集,132.8,8
2021-09,可燃ごみ,3909.07,9
2021-09,不燃ごみ,149.856,9
2021-09,粗大ごみ,238.67,9
2021-09,管路収集,114.67,9
2021-10,可燃ごみ,3807.13,10
2021-10,不燃ごみ,154.745,10
2021-10,粗大ごみ,247.19,10
2021-10,管路収集,124.79,10
2021-11,可燃ごみ,3906.94,11
2021-11,不燃ごみ,147.862,11
2021-11,粗大ごみ,242.61,11
2021-11,管路収集,127.36,11
2021-12,可燃ごみ,4214.85,12
2021-12,不燃ごみ,162.475,12
2021-12,粗大ごみ,249.88,12
2021-12,管路収集,156.2,12
2022-01,可燃ごみ,4008.63,1
2022-01,不燃ごみ,167.905,1
2022-01,粗大ごみ,207.43,1
2022-01,管路収集,146.4,1
2022-02,可燃ごみ,3498.75,2
2022-02,不燃ごみ,147.919,2
2022-02,粗大ごみ,220.64,2
2022-02,管路収集,117.17,2
2022-03,可燃ごみ,4070.36,3
2022-03,不燃ごみ,149.949,3
2022-03,粗大ごみ,241.78,3
2022-03,管路収集,145.38,3
2022-04,可燃ごみ,3965.43,4
2022-04,不燃ごみ,158.95,4
2022-04,粗大ごみ,274.94,4
2022-04,管路収集,145.3,4
2022-05,可燃ごみ,3933.97,5
2022-05,不燃ごみ,159.166,5
2022-05,粗大ごみ,244.58,5
2022-05,管路収集,164.17,5
2022-06,可燃ごみ,3904.13,6
2022-06,不燃ごみ,147.522,6
2022-06,粗大ごみ,241.42,6
2022-06,管路収集,138.75,6
2022-07,可燃ごみ,3863.45,7
2022-07,不燃ごみ,139.545,7
2022-07,粗大ごみ,242.8,7
2022-07,管路収集,154.25,7
2022-08,可燃ごみ,3955.36,8
2022-08,不燃ごみ,142.694,8
2022-08,粗大ごみ,249.39,8
2022-08,管路収集,157.35,8
2022-09,可燃ごみ,3754.73,9
2022-09,不燃ごみ,149.324,9
2022-09,粗大ごみ,238.18,9
2022-09,管路収集,132.7,9
2022-10,可燃ごみ,3802.65,10
2022-10,不燃ごみ,142.583,10
2022-10,粗大ごみ,237.67,10
2022-10,管路収集,133.96,10
2022-11,可燃ごみ,3883.22,11
2022-11,不燃ごみ,142.278,11
2022-11,粗大ごみ,226.6,11
2022-11,管路収集,129.19,11
2022-12,可燃ごみ,4124.32,12
2022-12,不燃ごみ,151.404,12
2022-12,粗大ごみ,230.47,12
2022-12,管路収集,168.11,12
2023-01,可燃ごみ,4010.71,1
2023-01,不燃ごみ,156.81,1
2023-01,粗大ごみ,198.66,1
2023-01,管路収集,154.58,1
2023-02,可燃ごみ,3422.16,2
2023-02,不燃ごみ,138.952,2
2023-02,粗大ごみ,215.5,2
2023-02,管路収集,130.66,2
2023-03,可燃ごみ,4020.86,3
2023-03,不燃ごみ,140.541,3
2023-03,粗大ごみ,266.5,3
2023-03,管路収集,165.94,3
